acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,label
0.713,0.514,100125,0.521,0.816,8,0.112,-14.835,0,0.0444,119.879,4,0.143,1
0.192,0.714,207019,0.614,0.0,4,0.263,-6.935,1,0.0319,123.969,4,0.582,1
0.333,0.63,216200,0.455,3.59e-6,5,0.127,-9.29,1,0.0292,139.931,4,0.199,1
0.601,0.81,136413,0.221,0.21,5,0.184,-11.005,1,0.0429,109.96,4,0.798,1
0.883,0.465,181440,0.459,0.000173,6,0.0692,-8.137,0,0.0351,90.807,4,0.288,1
0.524,0.633,244360,0.401,0.0,4,0.123,-12.549,1,0.0439,134.978,4,0.523,1
0.597,0.507,183573,0.795,0.0,9,0.296,-6.966,1,0.0607,165.54,4,0.9,0
0.452,0.825,259102,0.435,0.609,1,0.0953,-9.582,1,0.0568,119.038,4,0.243,1
0.748,0.42,366179,0.324,0.839,9,0.0723,-14.7,0,0.0556,183.02,3,0.33,1
0.913,0.292,197613,0.246,0.0883,0,0.209,-9.758,1,0.033,140.316,4,0.249,1
0.53,0.525,206249,0.574,6.89e-6,1,0.314,-6.448,0,0.296,199.512,4,0.42,1
0.952,0.327,240600,0.28,3.31e-5,2,0.104,-9.003,1,0.0408,83.047,4,0.13,1
0.0399,0.546,241920,0.733,1.11e-6,2,0.235,-7.073,1,0.0299,107.285,4,0.91,1
0.954,0.437,181053,0.285,0.0679,0,0.113,-10.683,1,0.0324,87.91,4,0.265,1
0.359,0.425,238587,0.562,4.68e-5,2,0.103,-6.428,0,0.0278,81.016,4,0.488,1
0.706,0.249,208147,0.564,0.369,4,0.364,-6.576,0,0.101,78.576,4,0.335,1
0.00329,0.688,279829,0.819,1.8e-5,7,0.0943,-6.935,1,0.0558,146.003,4,0.457,0
0.0152,0.591,245741,0.585,0.023,6,0.0584,-10.297,0,0.0315,130.076,4,0.372,1
0.992,0.525,226293,0.0633,0.905,9,0.105,-23.072,1,0.0497,71.855,4,0.297,1
0.0178,0.847,226547,0.609,0.0,4,0.0707,-6.335,1,0.416,128.006,4,0.625,0
0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,1
0.135,0.651,189531,0.876,0.0,8,0.224,-7.033,1,0.357,76.166,4,0.736,0
0.615,0.499,361613,0.603,0.0,7,0.208,-10.022,1,0.335,128.317,4,0.417,1
0.0235,0.464,198237,0.771,0.0,8,0.063,-4.503,1,0.336,158.777,4,0.69,0
0.024,0.681,202720,0.89,1.3e-5,3,0.0663,-5.416,1,0.0484,136.401,4,0.803,1
0.994,0.45,199493,0.0153,0.919,2,0.063,-25.257,1,0.0552,81.327,4,0.226,1
0.307,0.659,146325,0.692,1.49e-5,0,0.132,-6.275,0,0.0278,98.077,4,0.37,1
0.0503,0.811,179000,0.863,0.0,0,0.309,-4.64,1,0.103,121.971,4,0.644,0
0.17,0.626,188467,0.667,0.0,9,0.112,-6.484,1,0.0739,89.233,4,0.855,0
0.336,0.654,191000,0.859,0.0,0,0.0947,-4.321,1,0.166,114.87,4,0.704,1
0.36,0.201,262360,0.488,0.118,0,0.666,-10.913,1,0.0284,88.582,4,0.104,1
0.829,0.584,139067,0.428,0.848,5,0.107,-14.283,1,0.0293,111.57,4,0.593,1
0.983,0.311,124067,0.147,0.0,10,0.107,-22.533,1,0.0567,77.834,4,0.387,1
0.671,0.548,224867,0.564,0.0,9,0.11,-6.662,0,0.105,95.154,4,0.615,1
0.951,0.662,206467,0.227,0.0,2,0.0613,-12.03,1,0.108,116.003,5,0.629,0
0.962,0.211,103867,0.0904,0.881,8,0.183,-27.385,1,0.0385,82.279,3,0.0652,1
0.515,0.567,178013,0.94,3.51e-5,3,0.441,-5.161,1,0.049,84.188,4,0.967,0
0.177,0.821,270587,0.774,0.000676,11,0.0577,-3.418,1,0.235,93.425,4,0.547,0
0.12,0.702,165173,0.788,0.0,5,0.171,-1.455,0,0.251,163.903,4,0.645,0
0.0284,0.856,174785,0.854,0.0,6,0.045,-3.98,1,0.103,117.947,4,0.846,0
0.12,0.407,213213,0.868,0.0,2,0.25,-4.057,0,0.199,146.687,4,0.566,0
0.022,0.646,219899,0.851,0.0104,7,0.126,-4.034,0,0.0311,126.47,4,0.514,1
0.0371,0.685,183894,0.638,0.0,6,0.0987,-6.539,1,0.0367,123.442,4,0.414,1
0.00897,0.612,183519,0.963,0.00378,5,0.294,-3.912,0,0.0531,138.009,4,0.179,0
0.271,0.769,272333,0.396,0.0386,10,0.184,-15.419,1,0.0302,105.845,4,0.622,1
0.263,0.579,86813,0.141,0.0,0,0.296,-9.288,1,0.105,128.824,4,0.737,0
0.228,0.375,180520,0.504,0.0,6,0.208,-6.688,1,0.0366,176.318,4,0.384,1
0.988,0.318,403280,0.0451,0.888,10,0.0769,-27.127,1,0.0483,79.544,4,0.142,1
0.374,0.625,194733,0.6,0.0248,1,0.151,-7.75,1,0.0291,85.959,4,0.18,0
0.0767,0.395,221093,0.811,0.0159,4,0.342,-5.546,1,0.0945,154.708,4,0.615,1
0.253,0.638,169784,0.883,0.0,5,0.146,-4.273,1,0.0409,118.198,4,0.913,0
0.712,0.685,189830,0.566,0.0,8,0.138,-7.976,1,0.0729,134.712,4,0.606,1
0.763,0.438,221653,0.319,0.0,0,0.0767,-10.577,1,0.049,133.433,4,0.216,1
0.934,0.58,187427,0.101,0.000302,10,0.0768,-15.661,1,0.0289,91.003,3,0.302,1
0.0469,0.311,208467,0.325,0.0,2,0.139,-9.042,1,0.0283,65.09,1,0.668,1
0.548,0.621,249027,0.59,0.0,2,0.269,-9.031,1,0.0304,110.049,4,0.557,0
0.618,0.669,260760,0.518,0.623,9,0.102,-10.743,1,0.0261,91.019,4,0.463,1
0.682,0.427,297933,0.377,0.0,5,0.105,-8.136,1,0.0334,125.081,4,0.245,1
0.543,0.717,261773,0.916,0.000156,11,0.0854,-6.047,1,0.0344,133.144,4,0.964,1
0.816,0.273,238533,0.0947,0.762,2,0.12,-19.465,1,0.0436,132.675,3,0.125,1
0.0242,0.502,226800,0.595,0.0,5,0.436,-5.566,1,0.0286,107.642,4,0.449,0
0.97,0.189,304467,0.15,0.00261,10,0.12,-15.457,1,0.0424,64.572,4,0.103,1
0.817,0.694,118805,0.358,0.27,4,0.113,-15.888,1,0.032,105.089,4,0.952,1
0.00194,0.919,219880,0.73,8.51e-5,1,0.101,-6.581,1,0.088,95.044,4,0.189,0
0.00247,0.835,207733,0.833,0.0,1,0.171,-4.364,0,0.284,103.358,4,0.586,0
0.227,0.517,238333,0.798,0.0,7,0.0951,-5.322,0,0.0319,86.907,4,0.645,1
0.813,0.513,230520,0.662,0.18,11,0.288,-12.787,1,0.0435,101.275,4,0.734,1
0.00928,0.557,140571,0.876,0.00416,2,0.298,-3.014,0,0.0368,140.012,4,0.368,0
0.379,0.719,520661,0.664,0.0,4,0.979,-11.361,0,0.291,109.544,4,0.672,1
0.993,0.581,215000,0.233,0.872,9,0.0737,-17.979,1,0.046,129.506,4,0.888,1
0.811,0.36,344867,0.492,0.0,1,0.276,-10.325,1,0.0431,135.455,4,0.302,1
0.0091,0.405,220333,0.76,0.0,7,0.375,-4.863,1,0.0407,109.875,4,0.317,1
0.0591,0.573,208400,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422,1
0.017,0.609,155546,0.912,0.0335,0,0.44,-3.823,1,0.0486,128.0,4,0.533,0
0.0683,0.643,215160,0.877,0.0,8,0.346,-5.805,1,0.0502,130.193,4,0.843,0
0.377,0.594,170427,0.497,0.0,1,0.103,-8.155,1,0.034,110.924,4,0.498,1
0.772,0.637,208307,0.273,0.000503,4,0.122,-11.871,0,0.0291,114.036,4,0.189,1
0.328,0.497,240213,0.661,0.000317,9,0.211,-9.047,1,0.0361,180.225,4,0.894,1
0.953,0.237,203893,0.158,0.000223,6,0.692,-14.205,1,0.0337,100.122,3,0.0439,1
0.00543,0.771,230200,0.685,0.00157,1,0.0537,-4.639,1,0.0567,88.997,4,0.683,0
0.176,0.582,208613,0.818,0.0,1,0.137,-5.179,1,0.0335,108.983,4,0.316,1
0.0744,0.622,348760,0.598,0.000299,2,0.119,-9.79,1,0.0296,131.183,4,0.719,1
0.137,0.666,211931,0.948,0.0,10,0.192,-2.776,1,0.0638,100.996,4,0.523,0
0.0469,0.311,208467,0.325,0.0,2,0.139,-9.042,1,0.0283,65.09,1,0.668,1
0.00609,0.578,251800,0.848,0.00436,1,0.106,-5.092,1,0.0882,178.139,4,0.335,0
0.00944,0.649,260807,0.807,0.00185,7,0.111,-6.132,1,0.034,114.983,4,0.215,1
0.0102,0.511,174893,0.777,0.0155,11,0.215,-9.538,0,0.038,140.0,4,0.237,1
0.402,0.594,192627,0.872,3.02e-5,1,0.345,-2.204,1,0.0335,145.115,4,0.855,0
0.346,0.636,211933,0.863,0.0,2,0.0407,-4.324,1,0.0464,161.996,4,0.975,0
0.00686,0.764,212707,0.906,0.0,7,0.257,-6.041,0,0.0523,128.043,4,0.575,1
0.307,0.643,191606,0.766,1.38e-5,6,0.107,-4.788,0,0.384,97.092,4,0.463,0
0.284,0.438,236493,0.464,0.0035,1,0.221,-7.831,1,0.0304,119.601,4,0.321,1
0.0399,0.707,197355,0.758,0.0,4,0.141,-4.511,0,0.0917,97.037,4,0.674,0
0.0183,0.875,179512,0.835,0.00281,2,0.336,-3.626,1,0.0499,123.054,4,0.287,0
0.0206,0.769,223187,0.793,0.0,11,0.0388,-4.25,1,0.0278,99.649,4,0.603,0
0.946,0.323,100133,0.0461,0.0164,0,0.165,-27.817,1,0.0427,123.772,4,0.315,1
0.00689,0.865,287000,0.664,0.0,2,0.142,-6.822,1,0.108,162.831,4,0.565,0
0.982,0.322,276573,0.0549,0.851,9,0.0607,-24.028,0,0.0433,64.128,4,0.149,1
0.0235,0.505,224387,0.624,0.0,7,0.5,-6.513,1,0.0371,139.849,4,0.215,1
0.152,0.677,236853,0.497,0.0,5,0.0911,-5.763,1,0.0809,99.137,4,0.419,1
0.22,0.877,215547,0.537,0.000642,8,0.118,-6.035,1,0.0531,118.954,4,0.813,1
0.11,0.731,193467,0.748,0.0,1,0.325,-5.115,1,0.0443,94.965,4,0.836,0
0.586,0.565,238933,0.461,0.0,0,0.162,-7.273,1,0.141,157.894,4,0.199,1
0.472,0.679,230960,0.464,1.61e-5,6,0.105,-13.532,0,0.0395,102.315,3,0.922,1
0.0126,0.778,193467,0.615,1.44e-6,7,0.108,-6.529,1,0.0384,120.045,4,0.648,1
0.00661,0.607,251733,0.759,5.72e-5,0,0.315,-8.502,1,0.024,104.026,4,0.746,1
0.00464,0.321,189480,0.955,0.00897,10,0.269,-2.749,0,0.146,167.467,4,0.331,1
0.409,0.613,185767,0.616,0.0,4,0.398,-5.784,1,0.041,133.957,4,0.185,0
0.702,0.439,308520,0.488,0.000339,11,0.16,-14.464,1,0.0615,93.017,4,0.629,1
0.448,0.72,198587,0.466,4.62e-5,2,0.282,-14.833,1,0.0361,126.199,4,0.778,1
0.246,0.759,186453,0.733,2.11e-6,0,0.0493,-4.773,1,0.0362,121.977,4,0.481,1
0.0148,0.697,276569,0.527,0.0,1,0.0912,-7.958,1,0.08,132.895,4,0.132,0
0.992,0.525,228253,0.0553,0.933,2,0.0934,-22.358,1,0.0633,67.325,4,0.256,1
3.68e-6,0.158,277236,0.953,0.937,7,0.506,-4.517,1,0.0833,106.68,4,0.133,0
0.168,0.859,195613,0.756,4.65e-5,8,0.163,-3.36,0,0.0643,102.033,4,0.91,0
0.741,0.658,172027,0.505,0.0,0,0.0528,-9.958,1,0.231,130.49,4,0.698,1
0.0558,0.556,326347,0.644,2.32e-5,6,0.35,-5.805,0,0.402,140.009,4,0.499,0
0.0627,0.911,91840,0.546,3.37e-6,2,0.177,-9.792,1,0.227,91.989,4,0.859,0
0.0242,0.551,244227,0.951,2.91e-6,9,0.156,-3.395,1,0.0717,99.992,4,0.509,1
0.00427,0.597,171360,0.837,0.00114,10,0.839,-6.518,1,0.375,126.342,4,0.447,0
0.688,0.533,214667,0.0416,2.03e-5,5,0.39,-27.456,1,0.04,107.249,4,0.297,1
0.241,0.441,226829,0.752,0.0,11,0.408,-6.976,0,0.57,163.987,4,0.409,0
6.34e-5,0.448,254510,0.991,0.0,8,0.354,-2.507,0,0.113,130.032,4,0.242,0
0.764,0.571,263413,0.479,0.00945,7,0.167,-7.732,1,0.0257,111.966,4,0.312,1
0.00347,0.702,174201,0.987,0.0256,7,0.281,-2.711,1,0.148,99.982,4,0.261,0
0.108,0.632,281027,0.805,3.13e-5,4,0.361,-6.989,1,0.0262,97.032,4,0.681,1
0.00214,0.276,240667,0.982,5.39e-6,4,0.288,-4.115,0,0.188,103.925,3,0.317,0
0.0973,0.84,202200,0.707,0.0,9,0.27,-6.957,1,0.0514,129.532,4,0.697,0
0.00347,0.547,286800,0.854,0.0336,2,0.323,-3.763,1,0.0299,110.047,4,0.347,1
0.311,0.77,279507,0.505,7.4e-5,1,0.0777,-7.345,1,0.0828,171.798,4,0.757,0
0.687,0.341,181400,0.975,0.904,0,0.352,-4.033,1,0.0933,146.976,3,0.446,1
0.373,0.653,174785,0.66,0.0,6,0.684,-4.966,1,0.0511,87.958,4,0.677,1
0.616,0.472,205787,0.701,1.48e-6,0,0.966,-8.138,1,0.0942,140.823,4,0.477,1
0.0141,0.697,228427,0.949,0.0,0,0.748,-7.202,1,0.0353,132.379,4,0.904,0
0.917,0.796,249813,0.252,0.61,9,0.0577,-9.183,0,0.0442,123.039,4,0.626,1
0.0246,0.371,262080,0.823,0.0,7,0.0894,-6.766,1,0.0568,188.055,4,0.471,0
0.000924,0.586,227741,0.877,0.0811,8,0.0723,-2.373,1,0.105,125.014,4,0.447,1
0.0468,0.503,296512,0.896,0.0,5,0.716,-6.567,0,0.204,81.191,4,0.663,0
0.0501,0.699,242427,0.79,1.81e-6,7,0.0309,-3.51,1,0.115,90.922,4,0.959,0
0.578,0.725,178640,0.321,0.0,1,0.0884,-10.744,0,0.323,70.142,4,0.319,0
0.654,0.194,334853,0.29,1.72e-6,1,0.0784,-10.769,1,0.0359,69.798,3,0.0704,1
0.271,0.745,185067,0.839,1.89e-5,2,0.0985,-5.405,1,0.0532,104.023,4,0.807,1
0.0205,0.622,208213,0.787,0.0,9,0.108,-5.912,1,0.0483,100.308,4,0.772,1
0.0527,0.679,221840,0.684,0.000895,6,0.177,-8.559,1,0.278,151.748,4,0.755,0
0.0184,0.742,191867,0.747,0.0,2,0.12,-7.809,1,0.0574,123.943,4,0.357,1
0.778,0.646,184480,0.314,0.00071,0,0.123,-8.999,1,0.0345,149.97,4,0.457,1
0.0226,0.814,144080,0.855,0.000326,2,0.144,-4.053,1,0.191,170.065,4,0.863,0
0.0913,0.581,163612,0.672,0.0,0,0.264,-6.392,0,0.0487,119.952,4,0.623,1
0.887,0.389,192053,0.396,0.0,7,0.0828,-7.999,1,0.0332,171.86,3,0.585,1
0.087,0.546,153173,0.915,2.24e-6,5,0.341,-3.783,1,0.0435,170.15,4,0.924,0
0.00016,0.605,157031,0.964,0.611,8,0.858,-4.713,1,0.033,127.93,4,0.078,0
0.586,0.565,238933,0.461,0.0,0,0.162,-7.273,1,0.141,157.894,4,0.199,1
0.362,0.29,237747,0.571,0.0,6,0.281,-8.553,0,0.0403,98.42,4,0.518,1
0.00541,0.798,171000,0.717,0.00127,9,0.0613,-4.564,1,0.118,105.024,4,0.775,1
0.816,0.607,224040,0.481,0.0,8,0.128,-6.643,1,0.0324,137.02,4,0.312,1
0.932,0.157,198531,0.195,0.93,10,0.122,-18.487,1,0.0438,177.964,4,0.169,1
0.283,0.537,226640,0.314,0.865,4,0.176,-9.006,1,0.0311,107.614,4,0.22,1
0.265,0.886,196627,0.626,0.0,11,0.024,-2.528,0,0.277,93.989,4,0.856,0
0.291,0.542,233333,0.76,6.62e-6,0,0.268,-10.175,1,0.0546,170.182,4,0.633,1
0.0162,0.543,292093,0.915,0.0,0,0.744,-4.746,0,0.113,153.998,4,0.577,0
0.695,0.383,282787,0.46,0.0,1,0.194,-9.099,1,0.0526,165.635,4,0.541,1
0.00758,0.466,220307,0.657,0.00115,3,0.344,-6.379,0,0.217,139.809,4,0.659,0
0.000238,0.44,290427,0.975,0.0159,11,0.407,-2.024,1,0.0806,147.938,4,0.552,0
0.194,0.853,75413,0.777,0.0,1,0.118,-3.167,0,0.182,168.056,4,0.314,0
0.541,0.449,275160,0.523,4.1e-5,9,0.162,-7.949,1,0.028,142.438,4,0.553,1
0.133,0.439,232858,0.715,0.0014,3,0.0921,-7.726,1,0.0353,151.946,4,0.42,1
0.808,0.55,226200,0.154,0.0,7,0.184,-14.917,1,0.0539,82.126,4,0.751,1
0.138,0.762,162733,0.724,7.71e-5,11,0.187,-6.309,0,0.0624,132.051,4,0.775,0
0.95,0.96,189200,0.32,0.878,7,0.15,-9.713,1,0.0906,124.968,4,0.695,1
0.0321,0.758,160827,0.71,4.88e-6,7,0.332,-5.325,1,0.0315,124.069,4,0.961,0
0.101,0.681,204699,0.925,1.7e-5,8,0.343,-5.436,1,0.209,135.953,4,0.646,0
0.881,0.603,155600,0.321,0.0,2,0.34,-11.489,1,0.0599,143.104,4,0.844,1
0.133,0.458,187200,0.774,2.16e-5,2,0.125,-6.828,1,0.0341,151.984,4,0.704,1
0.722,0.401,547880,0.175,9.58e-6,7,0.325,-16.699,1,0.0349,120.02,4,0.199,1
0.0254,0.541,205200,0.854,0.000125,2,0.651,-6.196,1,0.155,86.044,4,0.454,0
0.224,0.765,133012,0.61,0.0,2,0.0277,-7.408,1,0.402,83.125,4,0.543,0
0.0894,0.703,231189,0.656,0.0,1,0.371,-4.593,0,0.0496,110.082,4,0.214,0
0.0117,0.838,245387,0.771,0.0,1,0.0853,-3.791,1,0.244,175.957,4,0.405,0
0.0662,0.532,199796,0.859,0.0,1,0.684,-4.106,1,0.142,118.919,4,0.934,0
0.833,0.379,177333,0.41,0.555,9,0.0644,-14.768,1,0.0408,78.519,4,0.72,1
0.13,0.708,232773,0.804,0.0,4,0.339,-7.106,1,0.0516,123.449,4,0.779,0
0.769,0.473,235683,0.424,2.99e-5,5,0.237,-9.143,1,0.03,137.039,4,0.275,1
0.00559,0.599,233680,0.902,0.00324,2,0.136,-6.375,1,0.0373,152.037,4,0.483,1
0.648,0.71,128500,0.75,0.0,10,0.86,-6.121,1,0.245,119.763,4,0.779,1
0.37,0.916,196000,0.804,1.18e-5,0,0.0812,-3.406,1,0.049,120.028,4,0.538,0
0.0511,0.717,235477,0.347,2.43e-6,11,0.087,-10.265,0,0.0636,84.987,4,0.0589,0
0.812,0.463,188530,0.341,1.07e-6,0,0.228,-9.352,0,0.0389,127.135,4,0.622,1
0.129,0.772,237573,0.504,0.0,6,0.125,-8.219,0,0.0761,140.035,4,0.244,0
0.68,0.544,303360,0.403,0.0,5,0.584,-10.548,1,0.428,145.101,3,0.565,1
0.00403,0.717,248560,0.621,0.0,11,0.144,-7.588,0,0.0605,133.014,4,0.72,1
0.876,0.531,259160,0.243,6.07e-5,3,0.12,-11.735,1,0.0327,132.032,4,0.263,1
0.0556,0.423,155413,0.66,3.06e-5,2,0.134,-7.403,1,0.12,177.954,4,0.663,1
0.925,0.357,198020,0.259,0.0,2,0.111,-10.512,1,0.0362,102.521,3,0.393,1
0.0908,0.683,141367,0.703,0.0,5,0.511,-5.278,1,0.419,90.029,4,0.344,0
0.729,0.33,284573,0.564,0.0,3,0.0862,-7.352,1,0.0492,91.303,4,0.288,1
0.000146,0.774,181400,0.431,1.99e-5,1,0.112,-8.407,1,0.346,201.843,4,0.353,0
0.00118,0.659,228253,0.702,1.72e-5,0,0.0246,-7.641,0,0.0307,133.439,4,0.694,1
0.0946,0.696,592000,0.64,0.0,4,0.101,-7.471,0,0.284,76.318,4,0.212,0
0.0044,0.788,228000,0.673,4.94e-6,9,0.0755,-9.232,1,0.199,99.979,4,0.478,0
0.198,0.655,229407,0.681,0.0,4,0.373,-7.267,0,0.429,115.032,5,0.689,0
0.885,0.217,292400,0.305,0.00271,1,0.201,-9.495,1,0.0321,82.848,4,0.12,1
0.273,0.558,213493,0.653,0.007,5,0.108,-8.312,0,0.0428,166.0,4,0.403,1
0.11,0.895,186027,0.885,4.04e-5,0,0.106,-4.182,1,0.268,134.973,4,0.633,0
0.36,0.524,115773,0.6,0.013,0,0.341,-6.767,1,0.0352,112.682,4,0.722,1
0.00213,0.733,293543,0.543,0.000169,1,0.0703,-10.002,1,0.0445,106.019,4,0.118,0
0.203,0.445,173941,0.532,0.0,10,0.0907,-8.125,1,0.0291,83.462,3,0.196,1
0.846,0.222,366773,0.312,0.391,5,0.155,-8.897,1,0.0429,64.773,3,0.134,1
0.455,0.764,224000,0.262,0.0249,1,0.104,-17.074,0,0.446,80.047,4,0.29,0
0.914,0.438,216926,0.236,0.00175,9,0.131,-13.679,1,0.0285,95.022,4,0.128,1
0.859,0.373,268000,0.0979,0.0,1,0.0554,-19.385,1,0.0484,148.563,4,0.173,1
0.0267,0.626,160184,0.8,0.000138,1,0.0623,-3.988,0,0.035,127.966,4,0.258,1
0.0513,0.459,215987,0.757,0.0117,8,0.116,-7.573,0,0.0538,176.978,4,0.29,1
0.357,0.656,291867,0.565,0.000192,9,0.0629,-8.722,1,0.0301,77.049,4,0.615,1
9.16e-5,0.495,185467,0.787,0.0,8,0.167,-6.89,1,0.0368,140.003,4,0.388,1
0.166,0.708,213440,0.666,0.000229,2,0.0929,-7.042,1,0.0349,89.019,4,0.834,1
0.803,0.715,46107,0.0882,0.0,9,0.0458,-17.133,1,0.338,94.622,4,0.917,0
0.0152,0.701,275133,0.889,0.0131,0,0.148,-4.776,1,0.0362,126.986,4,0.789,1
0.61,0.505,120400,0.441,0.0,9,0.725,-9.908,1,0.0685,114.442,4,0.641,1
0.000459,0.598,194490,0.896,0.824,10,0.327,-3.7,0,0.0655,102.043,4,0.559,0
0.0102,0.705,269440,0.738,0.000189,5,0.308,-5.402,0,0.0289,133.027,4,0.504,1
0.00118,0.61,180000,0.969,0.0743,0,0.184,-3.552,1,0.0556,127.976,4,0.236,0
0.00181,0.62,219183,0.899,0.0,1,0.0941,-2.364,1,0.223,87.54,4,0.765,0
0.214,0.791,156033,0.542,1.9e-6,5,0.0918,-9.114,0,0.0969,100.027,4,0.0357,1
0.0601,0.685,205280,0.803,0.0,2,0.546,-4.251,1,0.156,107.005,4,0.799,0
0.41,0.853,175357,0.528,0.0,11,0.0626,-8.132,0,0.411,136.983,4,0.842,1
0.926,0.97,223853,0.262,0.908,10,0.0794,-10.023,1,0.0693,118.971,4,0.715,1
0.541,0.749,70352,0.49,0.0,5,0.0979,-7.597,1,0.214,70.965,4,0.755,1
0.0373,0.641,231333,0.954,0.00104,6,0.785,-2.31,1,0.276,90.046,4,0.666,0
0.246,0.663,184947,0.856,9.84e-5,0,0.218,-4.083,1,0.0418,170.042,4,0.517,0
0.175,0.352,261000,0.431,6.21e-6,5,0.105,-7.23,1,0.0326,128.572,4,0.189,1
0.0161,0.828,187401,0.797,0.0,4,0.0547,-4.608,1,0.259,130.017,4,0.743,0
0.00113,0.838,215481,0.88,0.00809,2,0.101,-4.941,1,0.0458,123.024,4,0.354,1
0.308,0.558,196013,0.925,0.0,0,0.416,-3.83,1,0.0335,136.696,4,0.945,0
0.992,0.525,228253,0.0553,0.933,2,0.0934,-22.358,1,0.0633,67.325,4,0.256,1
0.0662,0.585,169533,0.717,2.87e-5,4,0.0945,-10.293,0,0.0378,105.505,4,0.532,1
0.652,0.627,219040,0.132,0.0,0,0.43,-13.357,1,0.721,167.127,4,0.256,0
0.319,0.328,213880,0.607,0.0,2,0.765,-11.076,1,0.0315,146.539,3,0.395,1
0.0323,0.668,251480,0.813,4.79e-5,5,0.61,-6.678,1,0.0275,132.103,4,0.784,0
0.44,0.466,212907,0.453,0.00362,7,0.166,-10.334,1,0.0256,154.69,3,0.266,1
0.785,0.377,189800,0.438,0.0,0,0.111,-9.703,1,0.0283,80.686,3,0.14,1
0.117,0.762,181027,0.6,0.0,1,0.0649,-7.378,1,0.0332,122.491,4,0.541,1
0.99,0.268,675360,0.113,0.934,3,0.121,-22.509,1,0.0417,92.943,4,0.142,1
0.478,0.652,237013,0.397,0.000946,7,0.0679,-15.245,1,0.0385,82.235,4,0.858,1
0.0404,0.424,190000,0.471,0.0,8,0.0761,-12.572,1,0.106,106.427,3,0.247,0
0.01,0.469,193963,0.807,4.52e-5,9,0.15,-8.099,1,0.0357,148.085,4,0.521,1
0.000204,0.564,233053,0.945,1.26e-5,7,0.228,-3.533,1,0.0906,94.969,4,0.634,1
0.0785,0.868,214627,0.936,0.0,1,0.0948,-4.8,1,0.185,127.977,4,0.454,0
0.432,0.66,340867,0.629,7.3e-5,5,0.172,-12.359,1,0.0387,111.926,4,0.324,1
0.991,0.526,223400,0.0423,0.909,2,0.109,-23.758,1,0.0618,71.761,4,0.195,1
